[2023-02-17 13:18:24 EST] iverilog '-Wall' design.sv testbench.sv  && unbuffer vvp a.out  
VCD info: dumpfile dump.vcd opened for output.
     0: a=0000, b=xxxx, s=xxxx, co=0
   149: a=1001, b=0100, s=1101, co=0
   150: a=1001, b=0101, s=1110, co=0
   151: a=1001, b=0110, s=1111, co=0
   152: a=1001, b=0111, s=0000, co=1
   153: a=1001, b=1000, s=0001, co=1
   154: a=1001, b=1001, s=0010, co=1
   155: a=1001, b=1010, s=0011, co=1
   156: a=1001, b=1011, s=0100, co=1
   157: a=1001, b=1100, s=0101, co=1
   158: a=1001, b=1101, s=0110, co=1
   159: a=1001, b=1110, s=0111, co=1
   160: a=1010, b=1111, s=1001, co=1
   161: a=1010, b=0000, s=1010, co=0
   162: a=1010, b=0001, s=1011, co=0
   163: a=1010, b=0010, s=1100, co=0
   164: a=1010, b=0011, s=1101, co=0
   165: a=1010, b=0100, s=1110, co=0
   166: a=1010, b=0101, s=1111, co=0
   167: a=1010, b=0110, s=0000, co=1
   168: a=1010, b=0111, s=0001, co=1
   169: a=1010, b=1000, s=0010, co=1
   170: a=1010, b=1001, s=0011, co=1
   171: a=1010, b=1010, s=0100, co=1
   172: a=1010, b=1011, s=0101, co=1
   173: a=1010, b=1100, s=0110, co=1
   174: a=1010, b=1101, s=0111, co=1
   175: a=1010, b=1110, s=1000, co=1
   176: a=1011, b=1111, s=1010, co=1
   177: a=1011, b=0000, s=1011, co=0
   178: a=1011, b=0001, s=1100, co=0
   179: a=1011, b=0010, s=1101, co=0
   180: a=1011, b=0011, s=1110, co=0
   181: a=1011, b=0100, s=1111, co=0
   182: a=1011, b=0101, s=0000, co=1
   183: a=1011, b=0110, s=0001, co=1
   184: a=1011, b=0111, s=0010, co=1
   185: a=1011, b=1000, s=0011, co=1
   186: a=1011, b=1001, s=0100, co=1
   187: a=1011, b=1010, s=0101, co=1
   188: a=1011, b=1011, s=0110, co=1
   189: a=1011, b=1100, s=0111, co=1
   190: a=1011, b=1101, s=1000, co=1
   191: a=1011, b=1110, s=1001, co=1
   192: a=1100, b=1111, s=1011, co=1
   193: a=1100, b=0000, s=1100, co=0
   194: a=1100, b=0001, s=1101, co=0
   195: a=1100, b=0010, s=1110, co=0
   196: a=1100, b=0011, s=1111, co=0
   197: a=1100, b=0100, s=0000, co=1
   198: a=1100, b=0101, s=0001, co=1
   199: a=1100, b=0110, s=0010, co=1
   200: a=1100, b=0111, s=0011, co=1
   201: a=1100, b=1000, s=0100, co=1
   202: a=1100, b=1001, s=0101, co=1
   203: a=1100, b=1010, s=0110, co=1
   204: a=1100, b=1011, s=0111, co=1
   205: a=1100, b=1100, s=1000, co=1
   206: a=1100, b=1101, s=1001, co=1
   207: a=1100, b=1110, s=1010, co=1
   208: a=1101, b=1111, s=1100, co=1
   209: a=1101, b=0000, s=1101, co=0
   210: a=1101, b=0001, s=1110, co=0
   211: a=1101, b=0010, s=1111, co=0
   212: a=1101, b=0011, s=0000, co=1
   213: a=1101, b=0100, s=0001, co=1
   214: a=1101, b=0101, s=0010, co=1
   215: a=1101, b=0110, s=0011, co=1
   216: a=1101, b=0111, s=0100, co=1
   217: a=1101, b=1000, s=0101, co=1
   218: a=1101, b=1001, s=0110, co=1
   219: a=1101, b=1010, s=0111, co=1
   220: a=1101, b=1011, s=1000, co=1
   221: a=1101, b=1100, s=1001, co=1
   222: a=1101, b=1101, s=1010, co=1
   223: a=1101, b=1110, s=1011, co=1
   224: a=1110, b=1111, s=1101, co=1
   225: a=1110, b=0000, s=1110, co=0
   226: a=1110, b=0001, s=1111, co=0
   227: a=1110, b=0010, s=0000, co=1
   228: a=1110, b=0011, s=0001, co=1
   229: a=1110, b=0100, s=0010, co=1
   230: a=1110, b=0101, s=0011, co=1
   231: a=1110, b=0110, s=0100, co=1
   232: a=1110, b=0111, s=0101, co=1
   233: a=1110, b=1000, s=0110, co=1
   234: a=1110, b=1001, s=0111, co=1
   235: a=1110, b=1010, s=1000, co=1
   236: a=1110, b=1011, s=1001, co=1
   237: a=1110, b=1100, s=1010, co=1
   238: a=1110, b=1101, s=1011, co=1
   239: a=1110, b=1110, s=1100, co=1
   240: a=1111, b=1111, s=1110, co=1
   241: a=1111, b=0000, s=1111, co=0
   242: a=1111, b=0001, s=0000, co=1
   243: a=1111, b=0010, s=0001, co=1
   244: a=1111, b=0011, s=0010, co=1
   245: a=1111, b=0100, s=0011, co=1
   246: a=1111, b=0101, s=0100, co=1
   247: a=1111, b=0110, s=0101, co=1
   248: a=1111, b=0111, s=0110, co=1
   249: a=1111, b=1000, s=0111, co=1
   250: a=1111, b=1001, s=1000, co=1
   251: a=1111, b=1010, s=1001, co=1
   252: a=1111, b=1011, s=1010, co=1
   253: a=1111, b=1100, s=1011, co=1
   254: a=1111, b=1101, s=1100, co=1
   255: a=1111, b=1110, s=1101, co=1
   256: a=1111, b=1111, s=1110, co=1
Done
